"Date.Time","Antenna","PIT","location","week"
"69546",200929083008,"M","011017A1D8","Mill2",1
"69548",200929083009,"M","011017A1D8","Mill2",1
"69553",200929083010,"M","011017A1D8","Mill2",1
"69558",200929083011,"M","011017A1D8","Mill2",1
"69562",200929083012,"M","011017A1D8","Mill2",1
"69566",200929083013,"M","011017A1D8","Mill2",1
"69568",200929083014,"M","011017A1D8","Mill2",1
"69573",200929083015,"M","011017A1D8","Mill2",1
"69578",200929083016,"M","011017A1D8","Mill2",1
"69582",200929083044,"M","0110179578","Mill2",1
"69585",200929083045,"M","0110179578","Mill2",1
"69589",200929083046,"M","0110179578","Mill2",1
"69593",200929083047,"M","0110179578","Mill2",1
"69596",200929083048,"M","0110179578","Mill2",1
"69599",200929083049,"M","0700EDC746","Mill2",1
"69602",200929083050,"M","0700EDC746","Mill2",1
"69604",200929083051,"M","0700EDC746","Mill2",1
"69608",200929083052,"M","0700EDC746","Mill2",1
"69612",200929083053,"M","0700EDC746","Mill2",1
"69614",200929083054,"M","0700EDC746","Mill2",1
"69618",200929083055,"M","0700EDC746","Mill2",1
"69625",200929083056,"M","0700EDC746","Mill2",1
"69626",200929083105,"M","0700EDC746","Mill2",1
"69627",200929083106,"M","0700EDC746","Mill2",1
"69630",200929083107,"M","0700EDC746","Mill2",1
"69631",200929083108,"M","0700EDC746","Mill2",1
"69635",200929083122,"M","0700EDC746","Mill2",1
"69642",200929083123,"M","0700EDC746","Mill2",1
"69647",200929083236,"M","011017A1D8","Mill2",1
"69648",200929083237,"M","011017A1D8","Mill2",1
"69654",200929083238,"M","011017A1D8","Mill2",1
"69659",200929083239,"M","011017A1D8","Mill2",1
"69663",200929083240,"M","011017A1D8","Mill2",1
"69668",200929083342,"M","0110179578","Mill2",1
"69671",200929083343,"M","0110179578","Mill2",1
"69674",200929083344,"M","0110179578","Mill2",1
"69678",200929083345,"M","0110179578","Mill2",1
"69681",200929083346,"M","0110179578","Mill2",1
"69682",200929083347,"M","0110179578","Mill2",1
"69684",200929083348,"M","0110179578","Mill2",1
"69686",200929083352,"M","011017A1D8","Mill2",1
"69690",200929083353,"M","011017A1D8","Mill2",1
"69693",200929083354,"M","011017A1D8","Mill2",1
"69699",200929083355,"M","011017A1D8","Mill2",1
"69700",200929083403,"M","011017A1D8","Mill2",1
"69701",200929083558,"M","011017A1D8","Mill2",1
"69702",200929083559,"M","011017A1D8","Mill2",1
"148017",200929083753,"M","011017912B","Mill4",1
"148020",200929083755,"M","011017912B","Mill4",1
"148022",200929083756,"M","011017912B","Mill4",1
"148026",200929083757,"M","011017912B","Mill4",1
"148028",200929083759,"M","011017912B","Mill4",1
"148031",200929083800,"M","011017912B","Mill4",1
"148035",200929083801,"M","011017912B","Mill4",1
"69703",200929084215,"M","0110179578","Mill2",1
"69707",200929084303,"M","011017A1D8","Mill2",1
"69708",200929084304,"M","011017A1D8","Mill2",1
"69710",200929084427,"M","011017A4A9","Mill2",1
"69711",200929084428,"M","011017A4A9","Mill2",1
"69714",200929084438,"M","0110179578","Mill2",1
"69715",200929084439,"M","0110179578","Mill2",1
"69718",200929084440,"M","0110179578","Mill2",1
"69722",200929084441,"M","0110179578","Mill2",1
"69726",200929084442,"M","0110179578","Mill2",1
"69729",200929084443,"M","0110179578","Mill2",1
"69733",200929084444,"M","0110179578","Mill2",1
"69736",200929084445,"M","0110179578","Mill2",1
"69740",200929084446,"M","0110179578","Mill2",1
"69744",200929084617,"M","011017A4A9","Mill2",1
"69745",200929084618,"M","011017A4A9","Mill2",1
"69748",200929085413,"M","0110179578","Mill2",1
"69749",200929085414,"M","0110179578","Mill2",1
"69750",200929085416,"M","0110179578","Mill2",1
"69751",200929085417,"M","0110179578","Mill2",1
"69753",200929085422,"M","011017A1D8","Mill2",1
"69756",200929085423,"M","011017A1D8","Mill2",1
"69757",200929085449,"M","0700EDC746","Mill2",1
"69759",200929085451,"M","0700EDC746","Mill2",1
"69765",200929085452,"M","0700EDC746","Mill2",1
"69771",200929085453,"M","0700EDC746","Mill2",1
"69778",200929085454,"M","0700EDC746","Mill2",1
"69786",200929085455,"M","0700EDC746","Mill2",1
"69793",200929085456,"M","0700EDC746","Mill2",1
"69799",200929085457,"M","0700EDC746","Mill2",1
"69802",200929085509,"M","0700EDC746","Mill2",1
"69807",200929085510,"M","0700EDC746","Mill2",1
"69815",200929085511,"M","0700EDC746","Mill2",1
"69821",200929085512,"M","0700EDC746","Mill2",1
"69827",200929085513,"M","0700EDC746","Mill2",1
"69835",200929085514,"M","0700EDC746","Mill2",1
"69843",200929085515,"M","0700EDC746","Mill2",1
"69844",200929085529,"M","011017A1D8","Mill2",1
"148036",200929085537,"M","0700EE1977","Mill4",1
"148039",200929085538,"M","0700EE1977","Mill4",1
"69845",200929085542,"M","0700EDC746","Mill2",1
"69846",200929085543,"M","0700EDC746","Mill2",1
"69852",200929085544,"M","0700EDC746","Mill2",1
"69859",200929085545,"M","0700EDC746","Mill2",1
"69867",200929085546,"M","0700EDC746","Mill2",1
"69873",200929085547,"M","0700EDC746","Mill2",1
"69880",200929085548,"M","0700EDC746","Mill2",1
"69887",200929085549,"M","0700EDC746","Mill2",1
"69895",200929085550,"M","0700EDC746","Mill2",1
"148040",200929085655,"M","0700EE1977","Mill4",1
"148043",200929085656,"M","0700EE1977","Mill4",1
"148047",200929085657,"M","0700EE1977","Mill4",1
"148052",200929085658,"M","0700EE1977","Mill4",1
"148059",200929085659,"M","0700EE1977","Mill4",1
"69898",200929085700,"M","0110179578","Mill2",1
"148065",200929085700,"M","0700EE1977","Mill4",1
"69899",200929085701,"M","0700EDC746","Mill2",1
"148070",200929085701,"M","0700EE1977","Mill4",1
"148075",200929085702,"M","0700EE1977","Mill4",1
"148080",200929085703,"M","0700EE1977","Mill4",1
"69900",200929085704,"M","0700EDC746","Mill2",1
"148087",200929085704,"M","0700EE1977","Mill4",1
"69902",200929085705,"M","0700EDC746","Mill2",1
"148093",200929085705,"M","0700EE1977","Mill4",1
"69905",200929085706,"M","0700EDC746","Mill2",1
"69911",200929085707,"M","0700EDC746","Mill2",1
"69918",200929085708,"M","0700EDC746","Mill2",1
"69926",200929085709,"M","0700EDC746","Mill2",1
"69933",200929085710,"M","0700EDC746","Mill2",1
"69939",200929085711,"M","0700EDC746","Mill2",1
"69946",200929085712,"M","0700EDC746","Mill2",1
"69954",200929085713,"M","0700EDC746","Mill2",1
"69961",200929085714,"M","0700EDC746","Mill2",1
"69968",200929085715,"M","0700EDC746","Mill2",1
"69974",200929085716,"M","0700EDC746","Mill2",1
"69982",200929085717,"M","0700EDC746","Mill2",1
"69989",200929085718,"M","0700EDC746","Mill2",1
"69996",200929085719,"M","0700EDC746","Mill2",1
"70002",200929085720,"M","0700EDC746","Mill2",1
"70010",200929085721,"M","0700EDC746","Mill2",1
"70017",200929085722,"M","0700EDC746","Mill2",1
"70023",200929085723,"M","0700EDC746","Mill2",1
"70024",200929085724,"M","0110179578","Mill2",1
"70026",200929085725,"M","0110179578","Mill2",1
"70028",200929085726,"M","0110179578","Mill2",1
"70032",200929085727,"M","0110179578","Mill2",1
"70036",200929085728,"M","0110179578","Mill2",1
"70040",200929085729,"M","0110179578","Mill2",1
"70044",200929085730,"M","0110179578","Mill2",1
"70048",200929085731,"M","0110179578","Mill2",1
"70052",200929085732,"M","0110179578","Mill2",1
"70055",200929085733,"M","0110179578","Mill2",1
"70059",200929085734,"M","0110179578","Mill2",1
"70062",200929085735,"M","0110179578","Mill2",1
"70064",200929085736,"M","0110179578","Mill2",1
"70065",200929085737,"M","0110179578","Mill2",1
"70068",200929085755,"M","0700EDC746","Mill2",1
"70072",200929085756,"M","0700EDC746","Mill2",1
"70077",200929085757,"M","0700EDC746","Mill2",1
"70084",200929085758,"M","0700EDC746","Mill2",1
"70091",200929085759,"M","0700EDC746","Mill2",1
"70098",200929085800,"M","0700EDC746","Mill2",1
"148095",200929085822,"M","0700EE1977","Mill4",1
"148096",200929085824,"M","0700EE1977","Mill4",1
"148104",200929085825,"M","0700EE1977","Mill4",1
"148108",200929085917,"M","0700EE1977","Mill4",1
"148114",200929085918,"M","0700EE1977","Mill4",1
"70100",200929085927,"M","0110178C37","Mill2",1
"148118",200929085927,"M","0700EE1977","Mill4",1
"70103",200929085928,"M","0110178C37","Mill2",1
"148121",200929085928,"M","0700EE1977","Mill4",1
"70107",200929085929,"M","0110178C37","Mill2",1
"148127",200929085929,"M","0700EE1977","Mill4",1
"70109",200929085930,"M","0110178C37","Mill2",1
"148131",200929085930,"M","0700EE1977","Mill4",1
"148136",200929085931,"M","0700EE1977","Mill4",1
"148142",200929085932,"M","0700EE1977","Mill4",1
"70112",200929085933,"M","0110178C37","Mill2",1
"70113",200929085934,"M","0110178C37","Mill2",1
"148146",200929090004,"M","0700EE1977","Mill4",1
"148147",200929090005,"M","0700EE1977","Mill4",1
"148151",200929090007,"M","0700EE1977","Mill4",1
"148158",200929090008,"M","0700EE1977","Mill4",1
"148165",200929090009,"M","0700EE1977","Mill4",1
"148173",200929090010,"M","0700EE1977","Mill4",1
"148179",200929090011,"M","0700EE1977","Mill4",1
"148185",200929090012,"M","0700EE1977","Mill4",1
"148191",200929090013,"M","0700EE1977","Mill4",1
"148198",200929090014,"M","0700EE1977","Mill4",1
"148205",200929090015,"M","0700EE1977","Mill4",1
"148211",200929090016,"M","0700EE1977","Mill4",1
"148218",200929090017,"M","0700EE1977","Mill4",1
"148222",200929090117,"M","0700EE1977","Mill4",1
"148223",200929090118,"M","0700EE1977","Mill4",1
"148226",200929090119,"M","0700EE1977","Mill4",1
"148230",200929090120,"M","0700EE1977","Mill4",1
"148234",200929090121,"M","0700EE1977","Mill4",1
"148239",200929090122,"M","0700EE1977","Mill4",1
"148245",200929090123,"M","0700EE1977","Mill4",1
"148251",200929090124,"M","0700EE1977","Mill4",1
"148257",200929090125,"M","0700EE1977","Mill4",1
"148262",200929090126,"M","0700EE1977","Mill4",1
"148267",200929090127,"M","0700EE1977","Mill4",1
"148271",200929090128,"M","0700EE1977","Mill4",1
"148276",200929090129,"M","0700EE1977","Mill4",1
"70116",200929090256,"M","0110178C37","Mill2",1
"148281",200929090256,"M","0700EE1977","Mill4",1
"148282",200929090257,"M","0700EE1977","Mill4",1
"148286",200929090258,"M","0700EE1977","Mill4",1
"148288",200929090332,"M","011017995E","Mill4",1
"148289",200929090354,"M","0700EE1977","Mill4",1
"148292",200929090355,"M","0700EE1977","Mill4",1
"148299",200929090356,"M","0700EE1977","Mill4",1
"148306",200929090357,"M","0700EE1977","Mill4",1
"148311",200929090358,"M","0700EE1977","Mill4",1
"148316",200929090359,"M","0700EE1977","Mill4",1
"148322",200929090400,"M","0700EE1977","Mill4",1
"148326",200929090401,"M","0700EE1977","Mill4",1
"148329",200929090402,"M","0700EE1977","Mill4",1
"148333",200929090429,"M","0700EE1977","Mill4",1
"148336",200929090430,"M","0700EE1977","Mill4",1
"148341",200929090431,"M","0700EE1977","Mill4",1
"148345",200929090432,"M","0700EE1977","Mill4",1
"148351",200929090433,"M","0700EE1977","Mill4",1
"148356",200929090434,"M","0700EE1977","Mill4",1
"148362",200929090435,"M","0700EE1977","Mill4",1
"148369",200929090436,"M","0700EE1977","Mill4",1
"148376",200929090437,"M","0700EE1977","Mill4",1
"148382",200929090438,"M","0700EE1977","Mill4",1
"148387",200929090439,"M","0700EE1977","Mill4",1
"148394",200929090440,"M","0700EE1977","Mill4",1
"148402",200929090441,"M","0700EE1977","Mill4",1
"148408",200929090442,"M","0700EE1977","Mill4",1
"148415",200929090443,"M","0700EE1977","Mill4",1
"148420",200929090444,"M","0700EE1977","Mill4",1
"148427",200929090445,"M","0700EE1977","Mill4",1
"148434",200929090446,"M","0700EE1977","Mill4",1
"148441",200929090447,"M","0700EE1977","Mill4",1
"148446",200929090448,"M","0700EE1977","Mill4",1
"148449",200929090510,"M","0700EE1977","Mill4",1
"148453",200929090511,"M","0700EE1977","Mill4",1
"148458",200929090512,"M","0700EE1977","Mill4",1
"148465",200929090513,"M","0700EE1977","Mill4",1
"148472",200929090514,"M","0700EE1977","Mill4",1
"148478",200929090515,"M","0700EE1977","Mill4",1
"148484",200929090516,"M","0700EE1977","Mill4",1
"224040",200929090516,"M","0110179AA2","Mill5",1
"148490",200929090517,"M","0700EE1977","Mill4",1
"224042",200929090517,"M","0110179AA2","Mill5",1
"148496",200929090518,"M","0700EE1977","Mill4",1
"224046",200929090518,"M","0110179AA2","Mill5",1
"148501",200929090519,"M","0700EE1977","Mill4",1
"224051",200929090519,"M","0110179AA2","Mill5",1
"148507",200929090520,"M","0700EE1977","Mill4",1
"224055",200929090520,"M","0110179AA2","Mill5",1
"148512",200929090521,"M","0700EE1977","Mill4",1
"224060",200929090521,"M","0110179AA2","Mill5",1
"224064",200929090522,"M","0110179AA2","Mill5",1
"224068",200929090523,"M","0110179AA2","Mill5",1
"148516",200929090545,"M","0700EE1977","Mill4",1
"148518",200929090546,"M","0700EE1977","Mill4",1
"148524",200929090547,"M","0700EE1977","Mill4",1
"148527",200929090548,"M","0700EE1977","Mill4",1
"148531",200929090549,"M","0700EE1977","Mill4",1
"148536",200929090550,"M","0700EE1977","Mill4",1
"148542",200929090551,"M","0700EE1977","Mill4",1
"148545",200929090552,"M","0700EE1977","Mill4",1
"224070",200929090622,"M","011017946C","Mill5",1
"224071",200929090623,"M","011017946C","Mill5",1
"224074",200929090645,"M","011017946C","Mill5",1
"224077",200929090646,"M","011017946C","Mill5",1
"148550",200929090655,"M","0700EE1977","Mill4",1
"148551",200929090656,"M","0700EE1977","Mill4",1
"148555",200929090657,"M","0700EE1977","Mill4",1
"148561",200929090658,"M","0700EE1977","Mill4",1
"148568",200929090659,"M","0700EE1977","Mill4",1
"148575",200929090700,"M","0700EE1977","Mill4",1
"224081",200929090720,"M","011017946C","Mill5",1
"224085",200929090721,"M","011017946C","Mill5",1
"224088",200929090722,"M","011017946C","Mill5",1
"224090",200929090739,"M","0110179AA2","Mill5",1
"224091",200929090740,"M","0110179AA2","Mill5",1
"224095",200929090741,"M","0110179AA2","Mill5",1
"224100",200929090742,"M","0110179AA2","Mill5",1
"70117",200929090749,"M","0700EDBA15","Mill2",1
"70118",200929090750,"M","0700EDBA15","Mill2",1
"148576",200929090750,"M","0700EE1977","Mill4",1
"70120",200929090751,"M","0700EDBA15","Mill2",1
"148580",200929090751,"M","0700EE1977","Mill4",1
"70121",200929090752,"M","0700EDBA15","Mill2",1
"148586",200929090752,"M","0700EE1977","Mill4",1
"70125",200929090753,"M","0700EDBA15","Mill2",1
"148593",200929090753,"M","0700EE1977","Mill4",1
"70128",200929090754,"M","0700EDBA15","Mill2",1
"148598",200929090754,"M","0700EE1977","Mill4",1
"148604",200929090755,"M","0700EE1977","Mill4",1
"224101",200929090755,"M","011017946C","Mill5",1
"148610",200929090756,"M","0700EE1977","Mill4",1
"224104",200929090756,"M","011017946C","Mill5",1
"148616",200929090757,"M","0700EE1977","Mill4",1
"224108",200929090757,"M","011017946C","Mill5",1
"148621",200929090758,"M","0700EE1977","Mill4",1
"224113",200929090758,"M","011017946C","Mill5",1
"224117",200929090759,"M","011017946C","Mill5",1
"148623",200929090800,"M","0700EE1977","Mill4",1
"148625",200929090801,"M","0700EE1977","Mill4",1
"148629",200929090802,"M","0700EE1977","Mill4",1
"148633",200929090803,"M","0700EE1977","Mill4",1
"148636",200929090804,"M","0700EE1977","Mill4",1
"148641",200929090805,"M","0700EE1977","Mill4",1
"148646",200929090806,"M","0700EE1977","Mill4",1
"148651",200929090807,"M","0700EE1977","Mill4",1
"148654",200929090808,"M","0700EE1977","Mill4",1
"148657",200929090809,"M","0700EE1977","Mill4",1
"148661",200929090810,"M","0700EE1977","Mill4",1
"148662",200929090811,"M","0700EE1977","Mill4",1
"148663",200929090812,"M","0700EE1977","Mill4",1
"148667",200929090813,"M","0700EE1977","Mill4",1
"148671",200929090814,"M","0700EE1977","Mill4",1
"148675",200929090815,"M","0700EE1977","Mill4",1
"148679",200929090816,"M","0700EE1977","Mill4",1
"148683",200929090817,"M","0700EE1977","Mill4",1
"148686",200929090818,"M","0700EE1977","Mill4",1
"148687",200929090819,"M","0700EE1977","Mill4",1
"70130",200929090858,"M","0110179578","Mill2",1
"70132",200929090859,"M","0110179578","Mill2",1
"148688",200929090904,"M","0700EE1977","Mill4",1
"148692",200929090905,"M","0700EE1977","Mill4",1
"224120",200929090905,"M","011017946C","Mill5",1
"148695",200929090906,"M","0700EE1977","Mill4",1
"224124",200929090906,"M","011017946C","Mill5",1
"148698",200929090907,"M","0700EE1977","Mill4",1
"224127",200929090907,"M","011017946C","Mill5",1
"148702",200929090908,"M","0700EE1977","Mill4",1
"148705",200929090909,"M","0700EE1977","Mill4",1
"148708",200929090910,"M","0700EE1977","Mill4",1
