"Date.Time","Antenna","PIT","location","week"
"22978",210223140011,"A","0700EE440C","Mill1",1
"22979",210223140013,"A","0700EE440C","Mill1",1
"22980",210223140014,"A","0700EE440C","Mill1",1
"22982",210223140015,"M","0700EE440C","Mill1",1
"22986",210223140016,"M","0700EE440C","Mill1",1
"22989",210223140017,"M","0700EE440C","Mill1",1
"22991",210223140019,"A","0700EE440C","Mill1",1
"22992",210223140020,"A","0700EE440C","Mill1",1
"22995",210223140021,"A","0700EE440C","Mill1",1
"22998",210223140022,"A","0700EE440C","Mill1",1
"251627",210223140035,"M","0700EDD83B","Mill5",1
"251633",210223140036,"M","0700EDD83B","Mill5",1
"251635",210223140037,"M","0700EDD83B","Mill5",1
"251643",210223140038,"M","0700EDD83B","Mill5",1
"251649",210223140039,"M","0700EDD83B","Mill5",1
"251652",210223140146,"A","0700EDD83B","Mill5",1
"251655",210223140147,"A","0700EDD83B","Mill5",1
"251658",210223140148,"A","0700EDD83B","Mill5",1
"251661",210223140149,"A","0700EDD83B","Mill5",1
"23002",210223140159,"A","01101791ED","Mill1",1
"23005",210223140200,"A","01101791ED","Mill1",1
"23009",210223140201,"A","01101791ED","Mill1",1
"23012",210223140202,"A","01101791ED","Mill1",1
"23013",210223140246,"A","01101791ED","Mill1",1
"23015",210223140247,"A","01101791ED","Mill1",1
"23017",210223140413,"A","0700EDEFDA","Mill1",1
"23020",210223140414,"A","0700EDEFDA","Mill1",1
"251663",210223140429,"M","0700EDD83B","Mill5",1
"251666",210223140430,"M","0700EDD83B","Mill5",1
"251672",210223140431,"M","0700EDD83B","Mill5",1
"251679",210223140432,"M","0700EDD83B","Mill5",1
"23023",210223140439,"A","0700EDD10F","Mill1",1
"23027",210223140440,"A","0700EDD10F","Mill1",1
"23030",210223140441,"A","0700EDD10F","Mill1",1
"23033",210223140442,"A","0700EDD10F","Mill1",1
"23037",210223140443,"A","0700EDD10F","Mill1",1
"23038",210223140448,"A","0700EDEFDA","Mill1",1
"23040",210223140449,"A","0700EDEFDA","Mill1",1
"23042",210223140605,"A","0700EDEFDA","Mill1",1
"23045",210223140606,"A","0700EDEFDA","Mill1",1
"179114",210223140624,"A","0700EDC746","Mill2",1
"179115",210223140625,"A","0700EDC746","Mill2",1
"179118",210223140626,"A","0700EDC746","Mill2",1
"179122",210223140627,"A","0700EDC746","Mill2",1
"179126",210223140628,"A","0700EDC746","Mill2",1
"179129",210223140629,"A","0700EDC746","Mill2",1
"179133",210223140632,"A","0700EDC746","Mill2",1
"179135",210223140633,"A","0700EDC746","Mill2",1
"179138",210223140634,"A","0700EDC746","Mill2",1
"179140",210223140638,"A","0700EDC746","Mill2",1
"228793",210223141122,"A","0700EDF160","Mill3",1
"228795",210223141123,"A","0700EDF160","Mill3",1
"228798",210223141124,"A","0700EDF160","Mill3",1
"228801",210223141138,"M","0110178B4C","Mill3",1
"228802",210223141139,"M","0110178B4C","Mill3",1
"228807",210223141231,"M","0700EDF160","Mill3",1
"228815",210223141232,"M","0700EDF160","Mill3",1
"228823",210223141233,"M","0700EDF160","Mill3",1
"228831",210223141234,"M","0700EDF160","Mill3",1
"23047",210223141338,"A","01101791ED","Mill1",1
"23050",210223141339,"A","01101791ED","Mill1",1
"251686",210223141352,"M","0110179AA2","Mill5",1
"251687",210223141353,"M","0110179AA2","Mill5",1
"228835",210223141405,"M","0700EDF160","Mill3",1
"228841",210223141406,"M","0700EDF160","Mill3",1
"228848",210223141407,"M","0700EDF160","Mill3",1
"251690",210223141407,"M","011017946C","Mill5",1
"251692",210223141408,"M","011017946C","Mill5",1
"241821",210223141410,"A","011017995E","Mill4",1
"23051",210223141419,"A","01101791ED","Mill1",1
"23053",210223141420,"A","01101791ED","Mill1",1
"23056",210223141421,"A","01101791ED","Mill1",1
"251694",210223141451,"M","011017946C","Mill5",1
"251697",210223141452,"M","011017946C","Mill5",1
"228851",210223141524,"M","0110178B4C","Mill3",1
"251701",210223141530,"M","011017946C","Mill5",1
"251704",210223141531,"M","011017946C","Mill5",1
"23057",210223141542,"A","0700EE440C","Mill1",1
"23058",210223141543,"A","0700EE440C","Mill1",1
"23062",210223141544,"A","0700EE440C","Mill1",1
"23065",210223141545,"A","0700EE440C","Mill1",1
"23068",210223141546,"A","0700EE440C","Mill1",1
"23072",210223141547,"A","0700EE440C","Mill1",1
"228852",210223141557,"A","0700EDF160","Mill3",1
"228855",210223141558,"A","0700EDF160","Mill3",1
"228858",210223141600,"M","0700EDF160","Mill3",1
"228863",210223141601,"M","0700EDF160","Mill3",1
"228871",210223141602,"M","0700EDF160","Mill3",1
"228878",210223141603,"M","0700EDF160","Mill3",1
"228880",210223141604,"A","0700EDF160","Mill3",1
"228882",210223141605,"A","0700EDF160","Mill3",1
"228885",210223141606,"A","0700EDF160","Mill3",1
"251705",210223141655,"M","011017946C","Mill5",1
