Box	Ring	Tag	Who	Clutch size	Chick.weight	Fledged	Fledge.order	Location	Coordinates_long	Coordinates_lat	Family
B01	C3T0077	0110177F58	Female	NA	NA	NA	NA	Castle	47.767736	8.996236	1
B01	C5A1049	0700EDD467	Male	NA	NA	NA	NA	Castle	47.767736	8.996236	1
B01	C5H4042	0700EE036E	Chick	6	18.4	84	2	Castle	47.767736	8.996236	1
B01	C5H4043	0700EDA903	Chick	6	17.9	84	1	Castle	47.767736	8.996236	1
B01	C5H4044	0700EDA61C	Chick	6	19.1	84	3	Castle	47.767736	8.996236	1
B04	C5A1854	0700EE1241	Chick	7	13.7	49	5	Castle	47.767704	8.997308	2
B04	C5A1855	0700ED8AAC	Chick	7	16.4	47	1	Castle	47.767704	8.997308	2
B04	C5A1856	0700EE3A01	Chick	7	15.4	47	3	Castle	47.767704	8.997308	2
B04	C5A1857	0700EDED37	Chick	7	16	47	2	Castle	47.767704	8.997308	2
B04	C5A1858	0700EDB2B2	Chick	7	16.4	49	4	Castle	47.767704	8.997308	2
B04	C5A1908	0700EDA1F4	Female	7	NA	NA	NA	Castle	47.767704	8.997308	2
B04	C3T0062	0110178D75	Male	7	NA	NA	NA	Castle	47.767704	8.997308	2
B07	C5A1853	0700EDEFDA	Female	NA	NA	NA	NA	Castle	47.768355	8.996608	3
B07	C3T0349	011017901F	Male	NA	NA	NA	NA	Castle	47.768355	8.996608	3
B07	C5A1942	0700EDDD02	Chick	6	12.9	76	NA	Castle	47.768355	8.996608	3
B07	C5A1943	0700EDCC73	Chick	6	14.4	76	4	Castle	47.768355	8.996608	3
B07	C5A1944	0700EE08B9	Chick	6	15.1	76	5	Castle	47.768355	8.996608	3
B07	C5A1945	0700EDEF61	Chick	6	16.8	76	3	Castle	47.768355	8.996608	3
B07	C5A1946	0700EDA481	Chick	6	15.5	76	2	Castle	47.768355	8.996608	3
B07	C5A1947	0700EE1624	Chick	6	16.8	75	1	Castle	47.768355	8.996608	3
B10	C3T0998	011017A3B6	Female	NA	NA	NA	NA	Castle	47.768373	8.997397	4
B10	C5A1047	0700EDB64C	Male	NA	NA	NA	NA	Castle	47.768373	8.997397	4
B10	C5A1984	0700EDE973	Chick	7	17.6	71	2	Castle	47.768373	8.997397	4
B10	C5A1985	0700EDF1B9	Chick	7	17.2	71	3	Castle	47.768373	8.997397	4
B10	C5A1986	0700EDBA15	Chick	7	18	71	1	Castle	47.768373	8.997397	4
B17	C5A1951	NA	Chick	6	13.7	57	NA	Castle	47.768873	8.996978	5
B17	C5A1952	NA	Chick	6	9.1	57	NA	Castle	47.768873	8.996978	5
B17	C3T0439	011017836F	Female	NA	NA	NA	NA	Castle	47.768873	8.996978	5
B17	C3T0935	0110177CDB	Male	NA	NA	NA	NA	Castle	47.768873	8.996978	5
B17	C3T0492	0110178BF4	Female	NA	NA	NA	NA	Castle	47.768873	8.996978	5
B17	C5A1055	0700EE440C	Male	NA	NA	NA	NA	Castle	47.768873	8.996978	5
B27	C5A1923	0700EDBD5D	Chick	6	18.9	46	4	Castle	47.768832	8.994558	6
B27	C5A1924	0700EE38F5	Chick	6	18.7	46	2	Castle	47.768832	8.994558	6
B27	C5A1925	0700ED93D0	Chick	6	18.9	46	3	Castle	47.768832	8.994558	6
B27	C5A1926	0700EE0246	Chick	6	15.7	46	1	Castle	47.768832	8.994558	6
B27	C3T0439	011017836F	Female	NA	NA	NA	NA	Castle	47.768832	8.994558	6
B27	C3T0935	0110177CDB	Male	NA	NA	NA	NA	Castle	47.768832	8.994558	6
B32	C51A873	0700EDD7BD	Chick	8	15.7	64	5	Castle	47.76956	8.99287	7
B32	C51A874	0700EDCAFC	Chick	8	14.7	64	2	Castle	47.76956	8.99287	7
B32	C51A878	NA	Chick	8	13	64	NA	Castle	47.76956	8.99287	7
B32	C51A875	0700EE086D	Chick	8	16	64	1	Castle	47.76956	8.99287	7
B32	C51A876	0700EE4397	Chick	8	16.1	64	3	Castle	47.76956	8.99287	7
B32	C51A877	0700ED94BD	Chick	8	16.5	64	4	Castle	47.76956	8.99287	7
B32	C5A1931	0700EDCA75	Female	NA	NA	NA	NA	Castle	47.76956	8.99287	7
B32	C5A1922	0700EE25A7	Male	NA	NA	NA	NA	Castle	47.76956	8.99287	7
C03	C3T0008	0110178299	Female	NA	NA	NA	NA	Castle	47.764812	8.995833	8
C03	C3L9896	01101780EB	Male	NA	NA	NA	NA	Castle	47.764812	8.995833	8
C03	C5H4064	0700EE2052	Chick	5	18.8	111	NA	Castle	47.764812	8.995833	8
C03	C5H4065	0700EDBC84	Chick	5	16.3	111	NA	Castle	47.764812	8.995833	8
C03	C5H4066	0700EDD3A1	Chick	5	15.5	111	NA	Castle	47.764812	8.995833	8
C03	C5H4067	0700EE0BE0	Chick	5	12.7	NA	NA	Castle	47.764812	8.995833	8
C05	C5A1637	0700ED9DDA	Female	NA	NA	NA	NA	Castle	47.764588	8.995622	9
C05	C3T0823	011017897F	Male	NA	NA	NA	NA	Castle	47.764588	8.995622	9
C05	C5A1933	0700EDE5D7	Chick	4	17.4	63	2	Castle	47.764588	8.995622	9
C05	C5A1934	0700EE2103	Chick	4	19.5	63	3	Castle	47.764588	8.995622	9
C05	C5A1935	0700EDDE4E	Chick	4	20	63	4	Castle	47.764588	8.995622	9
C05	C5A1936	0700EDF202	Chick	4	18.4	63	1	Castle	47.764588	8.995622	9
C08	C5A1916	0700EDDC08	Chick	7	17.7	45	NA	Castle	47.765042	8.995423	10
C08	C5A1917	0700ED9B1C	Chick	7	19.1	45	NA	Castle	47.765042	8.995423	10
C08	C5A1918	0700EE36F8	Chick	7	19.5	45	NA	Castle	47.765042	8.995423	10
C08	C5A1919	0700ED95F2	Chick	7	17.3	45	NA	Castle	47.765042	8.995423	10
C08	C5A1920	0700EE0709	Chick	7	18.8	45	NA	Castle	47.765042	8.995423	10
C08	C5A1921	0700EDB6F3	Chick	7	18	45	NA	Castle	47.765042	8.995423	10
C08	C3T0008	0110178299	Female	NA	NA	NA	NA	Castle	47.765042	8.995423	10
C08	C3L9896	01101780EB	Male	NA	NA	NA	NA	Castle	47.765042	8.995423	10
D01	C3T0575	0110177122	Female	NA	NA	NA	NA	Castle	47.76907	8.99544	11
D01	C3T0778	0110178A77	Male	NA	NA	NA	NA	Castle	47.76907	8.99544	11
D01	C5A1937	0700EE1DF1	Chick	8	14.1	55	3	Castle	47.76907	8.99544	11
D01	C5A1938	0700EE3F74	Chick	8	13.6	55	4	Castle	47.76907	8.99544	11
D01	C5A1939	0700EE05CE	Chick	8	13.6	56	5	Castle	47.76907	8.99544	11
D01	C5A1940	0700EE0F94	Chick	8	13.8	53	1	Castle	47.76907	8.99544	11
D01	C5A1941	0700ED86AC	Chick	8	12.5	55	2	Castle	47.76907	8.99544	11
D03	C3T0341	01101788AB	Female	NA	NA	NA	NA	Castle	47.76913	8.99609	12
D03	C3T0854	01101776AB	Male	NA	NA	NA	NA	Castle	47.76913	8.99609	12
D03	C5A1976	0700EDB233	Chick	6	13.2	58	3	Castle	47.76913	8.99609	12
