Ring	Species	Pit	Age_in_2020
B4R7607	GRETI	0110178EAB	adult
B5H0066	GRETI	0700EE31A0	adult
C1R1068	GRETI	0110178C77	adult
C1T5018	GRETI	0110176FD2	adult
C1X0745	GRETI	0110177F81	adult
C2H2819	GRETI	0700EE2014	adult
C2H2823	GRETI	0700EDAED2	adult
C2H2825	GRETI	0700ED87D5	adult
C2H2920	GRETI	0700EDE57D	adult
C2H2920	GRETI	0700EDF57D	adult
C2H2924	GRETI	0700EDF033	adult
C2H2926	GRETI	0700EE2CDA	adult
C2H2931	GRETI	0700ED9EAE	adult
C2R2664	GRETI	011017732A	adult
C2V1203	GRETI	0110176CAA	adult
C310321	GRETI	0110177470	adult
C312797	GRETI	0700EDFE1B	juvenile
C3L0401	GRETI	0110178498	adult
C3L0404	GRETI	011017738A	adult
C3L9827	GRETI	0110177678	adult
C3L9837	GRETI	01101776D4	adult
C3L9842	GRETI	01101785C4	adult
C3L9851	GRETI	011017789A	adult
C3L9853	GRETI	0110177773	adult
C3L9869	GRETI	0110176CA6	adult
C3L9871	GRETI	0110177BBC	adult
C3L9872	GRETI	0110178DB8	adult
C3L9875	GRETI	0110179191	adult
C3L9880	GRETI	0110178351	adult
C3L9882	GRETI	0700EE04AB	adult
C3L9894	GRETI	011017906A	adult
C3L9896	GRETI	01101780EB	adult
C3L9897	GRETI	01101765BE	adult
C3T0002	GRETI	01101765BB	adult
C3T0005	GRETI	011017704E	adult
C3T0008	GRETI	0110178299	adult
C3T0008	GRETI	01101787DE	adult
C3T0008	GRETI	01101772C2	adult
C3T0022	GRETI	0110177E1C	adult
C3T0024	GRETI	0110177AB0	adult
C3T0028	GRETI	0110178203	adult
C3T0035	GRETI	0110177027	adult
C3T0036	GRETI	0700EDBA1F	adult
C3T0054	GRETI	0110177A80	adult
C3T0059	GRETI	0110176CAB	adult
C3T0062	GRETI	0110178D75	adult
C3T0063	GRETI	0110178E1B	adult
C3T0071	GRETI	0110177589	adult
C3T0072	GRETI	0110177BD3	adult
C3T0073	GRETI	0110177B80	adult
C3T0074	GRETI	0110178191	adult
C3T0075	GRETI	01101771AF	adult
C3T0076	GRETI	0110178253	adult
C3T0077	GRETI	0110177F58	adult
C3T0078	GRETI	01101771B2	adult
C3T0079	GRETI	0110175F69	adult
C3T0081	GRETI	0110177A13	adult
C3T0082	GRETI	0110177EEE	adult
C3T0083	GRETI	0110177DB3	adult
C3T0084	GRETI	0110176D9A	adult
C3T0085	GRETI	0110177484	adult
C3T0086	GRETI	01101772E1	adult
C3T0087	GRETI	0110178A68	adult
C3T0088	GRETI	0110176D3E	adult
C3T0089	GRETI	0110176E88	adult
C3T0089	GRETI	0110176E8B	adult
C3T0091	GRETI	0110177A03	adult
C3T0092	GRETI	0110176FC0	adult
C3T0093	GRETI	0110178599	adult
C3T0094	GRETI	011017761A	adult
C3T0095	GRETI	0110178989	adult
C3T0096	GRETI	011017716B	adult
C3T0097	GRETI	0110177BCD	adult
C3T0098	GRETI	0110178428	adult
C3T0099	GRETI	01101782B8	adult
C3T0100	GRETI	01101780AF	adult
C3T0101	GRETI	0110178460	adult
C3T0102	GRETI	011017709D	adult
C3T0104	GRETI	0110177E46	adult
C3T0105	GRETI	011017890D	adult
C3T0106	GRETI	01101776EF	adult
C3T0107	GRETI	0110176D80	adult
C3T0109	GRETI	0110176938	adult
C3T0110	GRETI	0110176878	adult
C3T0111	GRETI	0110178C63	adult
C3T0113	GRETI	01101780F1	adult
C3T0114	GRETI	01101776EB	adult
C3T0116	GRETI	011017772D	adult
C3T0117	GRETI	0110177EB7	adult
C3T0118	GRETI	010799F947	adult
C3T0119	GRETI	011017733C	adult
C3T0120	GRETI	011017803D	adult
C3T0122	GRETI	0110177D5C	adult
C3T0123	GRETI	0110176A80	adult
C3T0131	GRETI	01101788A5	adult
C3T0132	GRETI	0110178396	adult
C3T0133	GRETI	01101783BB	adult
C3T0134	GRETI	0110178A4A	adult
C3T0135	GRETI	0110177A27	adult
C3T0136	GRETI	0110177823	adult
C3T0137	GRETI	0110177B56	adult
C3T0138	GRETI	0110178AA6	adult
C3T0139	GRETI	0110176D8F	adult
C3T0139	GRETI	011017779B	adult
C3T0140	GRETI	01101769E9	adult
C3T0153	GRETI	011017876C	adult
C3T0154	GRETI	011017627C	adult
C3T0157	GRETI	0110178212	adult
C3T0158	GRETI	0110179108	adult
C3T0160	GRETI	0110177D07	adult
C3T0162	GRETI	0110176AA8	adult
C3T0164	GRETI	0110177EE5	adult
C3T0165	GRETI	01101777CC	adult
C3T0166	GRETI	0110178B8E	adult
C3T0166	GRETI	0110177862	adult
C3T0167	GRETI	0110176FF8	adult
C3T0168	GRETI	01101770F7	adult
C3T0173	GRETI	01101784FE	adult
C3T0178	GRETI	01101774D4	adult
C3T0179	GRETI	0110178513	adult
C3T0180	GRETI	010799F912	adult
C3T0181	GRETI	0110177157	adult
C3T0183	GRETI	0110177D54	adult
C3T0184	GRETI	0110177F93	adult
C3T0185	GRETI	0110177B75	adult
C3T0186	GRETI	01101771DE	adult
C3T0187	GRETI	0110177889	adult
C3T0188	GRETI	0110177715	adult
C3T0189	GRETI	0110177881	adult
C3T0190	GRETI	0110177699	adult
C3T0191	GRETI	01101771B3	adult
C3T0192	GRETI	01101772A7	adult
C3T0193	GRETI	0110177201	adult
C3T0195	GRETI	0110178EC9	adult
C3T0197	GRETI	0110177297	adult
C3T0198	GRETI	0110179046	adult
C3T0198	GRETI	011017711E	adult
C3T0199	GRETI	0110177456	adult
C3T0200	GRETI	0110177BE9	adult
C3T0201	GRETI	011017863C	adult
C3T0202	GRETI	0110177468	adult
C3T0203	GRETI	01101781D3	adult
C3T0203	GRETI	0110177C8D	adult
C3T0204	GRETI	01101779AA	adult
C3T0205	GRETI	0110178B81	adult
C3T0206	GRETI	0110176ED8	adult
C3T0207	GRETI	0110178EE4	adult
C3T0208	GRETI	0110177CF0	adult
C3T0209	GRETI	0110177DF3	adult
C3T0210	GRETI	0110177646	adult
C3T0213	GRETI	0110176C14	adult
C3T0216	GRETI	0110178D39	adult
C3T0218	GRETI	0110177F00	adult
C3T0219	GRETI	0110177618	adult
C3T0220	GRETI	0110177577	adult
